,Country,variable,value
0,Albania,2018,5.32
1,Andorra,2018,0.46
2,Armenia,2018,5.59
3,Australia,2018,388.81
4,Austria,2018,56.06
5,Belarus,2018,37.8
6,Belgium,2018,93.63
7,Bosnia and Herzegovina,2018,20.81
8,Bulgaria,2018,7.32
9,Croatia,2018,12.24
10,Cyprus,2018,6.98
11,Czech Republic,2018,96.66
12,Denmark,2018,34.23
13,Estonia,2018,17.96
14,Finland,2018,51.3
15,France,2018,247.98
16,Germany,2018,680.06
17,Greece,2018,66.68
18,Hungary,2018,48.28
19,Iceland,2018,2.11
20,Ireland,2018,34.32
21,Italy,2018,312.03
22,Latvia,2018,4.85
23,Libya,2018,58.94
24,Lithuania,2018,10.95
25,Luxembourg,2018,9.04
26,Malta,2018,1.54
27,Moldova,2018,8.7
28,Montenegro,2018,2.55
29,Netherlands,2018,152.52
30,Norway,2018,18.43
31,Poland,2018,279.83
32,Portugal,2018,50.07
33,Romania,2018,52.0
34,Russia,2018,1049.05
35,Serbia,2018,45.45
36,Slovakia,2018,31.93
37,Slovenia,2018,14.39
38,Spain,2018,244.45
39,Sweden,2018,19.68
40,Switzerland,2018,35.23
41,Turkey,2018,384.32
42,Ukraine,2018,173.18
43,United Kingdom,2018,347.84
44,Azerbaijan,2018,30.1
45,Georgia,2018,9.46
46,Israel,2018,62.05
47,Morocco,2018,64.74
48,Macedonia,2018,7.37
49,Albania,2017,5.37
50,Andorra,2017,0.47
51,Armenia,2017,5.36
52,Australia,2017,389.39
53,Austria,2017,58.71
54,Belarus,2017,34.8
55,Belgium,2017,92.93
56,Bosnia and Herzegovina,2017,20.91
57,Bulgaria,2017,10.24
58,Croatia,2017,13.14
59,Cyprus,2017,7.05
60,Czech Republic,2017,97.6
61,Denmark,2017,34.19
62,Estonia,2017,18.21
63,Finland,2017,49.7
64,France,2017,254.37
65,Germany,2017,702.73
66,Greece,2017,68.19
67,Hungary,2017,48.45
68,Iceland,2017,2.09
69,Ireland,2017,34.74
70,Italy,2017,316.37
71,Latvia,2017,4.33
72,Libya,2017,56.81
73,Lithuania,2017,10.6
74,Luxembourg,2017,8.72
75,Malta,2017,1.51
76,Moldova,2017,8.26
77,Montenegro,2017,2.25
78,Netherlands,2017,157.27
79,Norway,2017,17.95
80,Poland,2017,279.92
81,Portugal,2017,53.63
82,Romania,2017,51.22
83,Russia,2017,998.24
84,Serbia,2017,46.81
85,Slovakia,2017,32.51
86,Slovenia,2017,14.49
87,Spain,2017,249.55
88,Sweden,2017,21.76
89,Switzerland,2017,36.38
90,Turkey,2017,387.25
91,Ukraine,2017,162.66
92,United Kingdom,2017,355.42
93,Azerbaijan,2017,30.05
94,Georgia,2017,9.63
95,Israel,2017,66.12
96,Morocco,2017,63.99
97,Macedonia,2017,7.86
98,Albania,2016,4.7
99,Andorra,2016,0.47
