,TIME,variable,value
0,Belgium,1990,
1,Bulgaria,1990,2143579
2,Czechia,1990,
3,Denmark,1990,
4,Germany,1990,17023213
5,Estonia,1990,
6,Ireland,1990,
7,Greece,1990,
8,Spain,1990,12937452
9,France,1990,32542006
10,Croatia,1990,
11,Italy,1990,20862965
12,Cyprus,1990,
13,Latvia,1990,
14,Lithuania,1990,
15,Luxembourg,1990,820476
16,Hungary,1990,
17,Malta,1990,
18,Netherlands,1990,5795000
19,Austria,1990,15744307
20,Poland,1990,
21,Portugal,1990,4434728
22,Romania,1990,1431661
23,Slovenia,1990,
24,Slovakia,1990,822238
25,Finland,1990,
26,Sweden,1990,1988374
27,Iceland,1990,
28,Liechtenstein,1990,85153
29,Norway,1990,
30,Switzerland,1990,10521446
31,United Kingdom,1990,14230932
32,Montenegro,1990,
33,North Macedonia,1990,428053
34,Serbia,1990,
35,Turkey,1990,
36,Belgium,1991,
37,Bulgaria,1991,757062
38,Czechia,1991,
39,Denmark,1991,
40,Germany,1991,15647617
41,Estonia,1991,
42,Ireland,1991,
43,Greece,1991,
44,Spain,1991,12783140
45,France,1991,32479272
46,Croatia,1991,
47,Italy,1991,20241217
48,Cyprus,1991,
49,Latvia,1991,
50,Lithuania,1991,
51,Luxembourg,1991,824559
52,Hungary,1991,
53,Malta,1991,
54,Netherlands,1991,5841900
55,Austria,1991,15504457
56,Poland,1991,2756969
57,Portugal,1991,4769090
58,Romania,1991,28657837
59,Slovenia,1991,
60,Slovakia,1991,622505
61,Finland,1991,
62,Sweden,1991,1827710
63,Iceland,1991,
64,Liechtenstein,1991,
65,Norway,1991,
66,Switzerland,1991,10111086
67,United Kingdom,1991,13493466
68,Montenegro,1991,
69,North Macedonia,1991,240191
70,Serbia,1991,
71,Turkey,1991,
72,Belgium,1992,5204440
73,Bulgaria,1992,1056034
74,Czechia,1992,
75,Denmark,1992,
76,Germany,1992,15913214
77,Estonia,1992,
78,Ireland,1992,
79,Greece,1992,
80,Spain,1992,13230990
81,France,1992,35704397
82,Croatia,1992,
83,Italy,1992,20424982
84,Cyprus,1992,
85,Latvia,1992,
86,Lithuania,1992,
87,Luxembourg,1992,759496
88,Hungary,1992,
89,Malta,1992,
90,Netherlands,1992,6049100
91,Austria,1992,15536013
92,Poland,1992,3303757
93,Portugal,1992,4344547
94,Romania,1992,1184757
95,Slovenia,1992,594917
96,Slovakia,1992,479969
97,Finland,1992,
98,Sweden,1992,1808643
99,Iceland,1992,
100,Liechtenstein,1992,
101,Norway,1992,
102,Switzerland,1992,10264793
103,United Kingdom,1992,14605657
104,Montenegro,1992,
105,North Macedonia,1992,173336
106,Serbia,1992,
107,Turkey,1992,
108,Belgium,1993,
109,Bulgaria,1993,1123281
110,Czechia,1993,
111,Denmark,1993,
112,Germany,1993,14347703
113,Estonia,1993,
114,Ireland,1993,
115,Greece,1993,
116,Spain,1993,13949083
117,France,1993,33996492
118,Croatia,1993,1575173
119,Italy,1993,21025353
120,Cyprus,1993,
121,Latvia,1993,
122,Lithuania,1993,
123,Luxembourg,1993,791344
124,Hungary,1993,
125,Malta,1993,
126,Netherlands,1993,5756700
127,Austria,1993,14751561
128,Poland,1993,3326358
129,Portugal,1993,3961743
130,Romania,1993,848436
131,Slovenia,1993,600890
132,Slovakia,1993,652815
133,Finland,1993,1678725
134,Sweden,1993,1877296
135,Iceland,1993,
136,Liechtenstein,1993,
137,Norway,1993,
138,Switzerland,1993,9901324
139,United Kingdom,1993,15558984
140,Montenegro,1993,
141,North Macedonia,1993,172082
142,Serbia,1993,
143,Turkey,1993,
144,Belgium,1994,5308942
145,Bulgaria,1994,978998
146,Czechia,1994,2972371
147,Denmark,1994,
148,Germany,1994,14493812
149,Estonia,1994,
150,Ireland,1994,
151,Greece,1994,6929895
152,Spain,1994,16426085
153,France,1994,35592516
154,Croatia,1994,2299813
155,Italy,1994,24663870
156,Cyprus,1994,
157,Latvia,1994,
158,Lithuania,1994,210119
159,Luxembourg,1994,761822
160,Hungary,1994,2944214
161,Malta,1994,903203
162,Netherlands,1994,6178000
163,Austria,1994,14553348
164,Poland,1994,3489195
165,Portugal,1994,4389299
166,Romania,1994,2758400
167,Slovenia,1994,726585
168,Slovakia,1994,901812
169,Finland,1994,1867760
170,Sweden,1994,2109381
171,Iceland,1994,
172,Liechtenstein,1994,
173,Norway,1994,
174,Switzerland,1994,7373013
175,United Kingdom,1994,16427318
176,Montenegro,1994,
177,North Macedonia,1994,
178,Serbia,1994,
179,Turkey,1994,
180,Belgium,1995,5559926
181,Bulgaria,1995,818696
182,Czechia,1995,3369125
183,Denmark,1995,
184,Germany,1995,14836203
185,Estonia,1995,
186,Ireland,1995,
187,Greece,1995,6480579
188,Spain,1995,17451921
189,France,1995,34512037
190,Croatia,1995,1412963
191,Italy,1995,27581077
192,Cyprus,1995,
193,Latvia,1995,184783
194,Lithuania,1995,193433
195,Luxembourg,1995,761482
196,Hungary,1995,2877592
197,Malta,1995,865968
198,Netherlands,1995,6574000
199,Austria,1995,14044731
200,Poland,1995,3702440
201,Portugal,1995,4572237
202,Romania,1995,765815
203,Slovenia,1995,709399
204,Slovakia,1995,894654
205,Finland,1995,1779204
206,Sweden,1995,
207,Iceland,1995,
208,Liechtenstein,1995,74762
209,Norway,1995,
210,Switzerland,1995,6960877
211,United Kingdom,1995,19052257
212,Montenegro,1995,
213,North Macedonia,1995,131939
214,Serbia,1995,
215,Turkey,1995,
216,Belgium,1996,5829267
217,Bulgaria,1996,775258
218,Czechia,1996,4428451
219,Denmark,1996,2124575
220,Germany,1996,15194117
221,Estonia,1996,
222,Ireland,1996,
223,Greece,1996,6216312
224,Spain,1996,18134346
225,France,1996,
226,Croatia,1996,2601081
227,Italy,1996,29324237
228,Cyprus,1996,
229,Latvia,1996,188269
230,Lithuania,1996,232412
231,Luxembourg,1996,717618
232,Hungary,1996,2978772
233,Malta,1996,842510
234,Netherlands,1996,6581000
235,Austria,1996,14113112
236,Poland,1996,3832668
237,Portugal,1996,4566705
238,Romania,1996,762383
239,Slovenia,1996,806082
240,Slovakia,1996,941089
241,Finland,1996,1724109
242,Sweden,1996,3568403
243,Iceland,1996,456216
244,Liechtenstein,1996,71075
245,Norway,1996,
246,Switzerland,1996,6744099
247,United Kingdom,1996,18923909
248,Montenegro,1996,
249,North Macedonia,1996,123441
250,Serbia,1996,
251,Turkey,1996,
252,Belgium,1997,6037031
253,Bulgaria,1997,680755
254,Czechia,1997,4825302
255,Denmark,1997,2157665
256,Germany,1997,15825371
257,Estonia,1997,
258,Ireland,1997,
259,Greece,1997,7041480
