,Country Name,variable,value
0,Albania,1961,27400
1,Andorra,1961,470
2,Armenia,1961,28470
3,Australia,1961,7682300
4,Austria,1961,82580
5,Azerbaijan,1961,83217
6,Belgium,1961,32820
7,Bulgaria,1961,110630
8,Bosnia and Herzegovina,1961,51200
9,Belarus,1961,202840
10,Bolivia,1961,1083300
11,Switzerland,1961,39528
12,Cyprus,1961,9240
13,Czech Republic,1961,77270
14,Germany,1961,349130
15,Denmark,1961,42370
16,Spain,1961,499780
17,Estonia,1961,42390
18,France,1961,547566
19,United Kingdom,1961,241930
20,Georgia,1961,69490
21,Greece,1961,128900
22,Croatia,1961,55910
23,Hungary,1961,90040
24,Ireland,1961,68890
25,Iceland,1961,100250
26,Israel,1961,21640
27,Italy,1961,294110
28,Lithuania,1961,62680
29,Luxembourg,1961,
30,Latvia,1961,62196
31,Morocco,1961,446340
32,Monaco,1961,2.027
33,Moldova,1961,32870
34,North Macedonia,1961,25430
35,Malta,1961,320
36,Montenegro,1961,13450
37,Netherlands,1961,33760
38,Norway,1961,365244
39,Poland,1961,306290
40,Portugal,1961,91500
41,Romania,1961,230340
42,Russia,1961,16389950
43,San Marino,1961,60
44,Serbia,1961,87460
45,Slovakia,1961,48100
46,Slovenia,1961,20140
47,Sweden,1961,410340
48,Turkey,1961,769630
49,Ukraine,1961,579350
50,Albania,1962,27400
51,Andorra,1962,470
52,Armenia,1962,28470
53,Australia,1962,7682300
54,Austria,1962,82580
55,Azerbaijan,1962,83217
56,Belgium,1962,32820
57,Bulgaria,1962,110630
58,Bosnia and Herzegovina,1962,51200
59,Belarus,1962,202840
60,Bolivia,1962,1083300
61,Switzerland,1962,39528
62,Cyprus,1962,9240
63,Czech Republic,1962,77270
64,Germany,1962,349130
65,Denmark,1962,42370
66,Spain,1962,499780
67,Estonia,1962,42390
68,France,1962,547566
69,United Kingdom,1962,241930
70,Georgia,1962,69490
71,Greece,1962,128900
72,Croatia,1962,55910
73,Hungary,1962,90020
74,Ireland,1962,68890
75,Iceland,1962,100250
76,Israel,1962,21640
77,Italy,1962,294110
78,Lithuania,1962,62680
79,Luxembourg,1962,
80,Latvia,1962,62196
81,Morocco,1962,446340
82,Monaco,1962,2.027
83,Moldova,1962,32870
84,North Macedonia,1962,25430
85,Malta,1962,320
86,Montenegro,1962,13450
87,Netherlands,1962,33760
88,Norway,1962,365244
89,Poland,1962,306290
90,Portugal,1962,91500
91,Romania,1962,230340
92,Russia,1962,16389950
93,San Marino,1962,60
94,Serbia,1962,87460
95,Slovakia,1962,48100
96,Slovenia,1962,20140
97,Sweden,1962,410340
98,Turkey,1962,769630
99,Ukraine,1962,579350
100,Albania,1963,27400
101,Andorra,1963,470
102,Armenia,1963,28470
103,Australia,1963,7682300
104,Austria,1963,82580
105,Azerbaijan,1963,83217
106,Belgium,1963,32820
107,Bulgaria,1963,110630
108,Bosnia and Herzegovina,1963,51200
109,Belarus,1963,202840
110,Bolivia,1963,1083300
111,Switzerland,1963,39528
112,Cyprus,1963,9240
113,Czech Republic,1963,77270
114,Germany,1963,349130
115,Denmark,1963,42370
116,Spain,1963,499780
117,Estonia,1963,42390
118,France,1963,547566
119,United Kingdom,1963,241930
120,Georgia,1963,69490
121,Greece,1963,128900
122,Croatia,1963,55910
123,Hungary,1963,90030
124,Ireland,1963,68890
125,Iceland,1963,100250
126,Israel,1963,21640
127,Italy,1963,294110
128,Lithuania,1963,62680
129,Luxembourg,1963,
130,Latvia,1963,62196
131,Morocco,1963,446340
132,Monaco,1963,2.027
133,Moldova,1963,32870
134,North Macedonia,1963,25430
135,Malta,1963,320
136,Montenegro,1963,13450
137,Netherlands,1963,33760
138,Norway,1963,365244
139,Poland,1963,306290
140,Portugal,1963,91500
141,Romania,1963,230340
142,Russia,1963,16389950
143,San Marino,1963,60
144,Serbia,1963,87460
145,Slovakia,1963,48100
146,Slovenia,1963,20140
147,Sweden,1963,410340
148,Turkey,1963,769630
149,Ukraine,1963,579350
150,Albania,1964,27400
151,Andorra,1964,470
152,Armenia,1964,28470
153,Australia,1964,7682300
154,Austria,1964,82580
155,Azerbaijan,1964,83217
156,Belgium,1964,32820
157,Bulgaria,1964,110630
158,Bosnia and Herzegovina,1964,51200
159,Belarus,1964,202840
160,Bolivia,1964,1083300
161,Switzerland,1964,39528
162,Cyprus,1964,9240
163,Czech Republic,1964,77270
164,Germany,1964,349130
165,Denmark,1964,42370
166,Spain,1964,499780
167,Estonia,1964,42390
168,France,1964,547566
169,United Kingdom,1964,241930
170,Georgia,1964,69490
171,Greece,1964,128900
172,Croatia,1964,55910
173,Hungary,1964,90030
174,Ireland,1964,68890
175,Iceland,1964,100250
176,Israel,1964,21640
177,Italy,1964,294110
178,Lithuania,1964,62680
179,Luxembourg,1964,
180,Latvia,1964,62196
181,Morocco,1964,446340
182,Monaco,1964,2.027
183,Moldova,1964,32870
184,North Macedonia,1964,25430
185,Malta,1964,320
186,Montenegro,1964,13450
187,Netherlands,1964,33760
188,Norway,1964,365244
189,Poland,1964,306290
190,Portugal,1964,91500
191,Romania,1964,230340
192,Russia,1964,16389950
193,San Marino,1964,60
194,Serbia,1964,87460
195,Slovakia,1964,48100
196,Slovenia,1964,20140
197,Sweden,1964,410340
198,Turkey,1964,769630
199,Ukraine,1964,579350
200,Albania,1965,27400
201,Andorra,1965,470
202,Armenia,1965,28470
203,Australia,1965,7682300
204,Austria,1965,82580
205,Azerbaijan,1965,83217
206,Belgium,1965,32820
207,Bulgaria,1965,110630
208,Bosnia and Herzegovina,1965,51200
209,Belarus,1965,202840
210,Bolivia,1965,1083300
211,Switzerland,1965,39528
212,Cyprus,1965,9240
213,Czech Republic,1965,77270
214,Germany,1965,349130
215,Denmark,1965,42370
216,Spain,1965,499780
217,Estonia,1965,42390
218,France,1965,547566
219,United Kingdom,1965,241930
220,Georgia,1965,69490
221,Greece,1965,128900
222,Croatia,1965,55910
223,Hungary,1965,90020
224,Ireland,1965,68890
225,Iceland,1965,100250
226,Israel,1965,21640
227,Italy,1965,294110
228,Lithuania,1965,62680
229,Luxembourg,1965,
230,Latvia,1965,62196
231,Morocco,1965,446340
232,Monaco,1965,2.027
233,Moldova,1965,32870
234,North Macedonia,1965,25430
235,Malta,1965,320
236,Montenegro,1965,13450
237,Netherlands,1965,33760
238,Norway,1965,365244
239,Poland,1965,306290
240,Portugal,1965,91500
241,Romania,1965,230340
242,Russia,1965,16389950
243,San Marino,1965,60
244,Serbia,1965,87460
245,Slovakia,1965,48100
246,Slovenia,1965,20140
247,Sweden,1965,410340
248,Turkey,1965,769630
249,Ukraine,1965,579350
250,Albania,1966,27400
251,Andorra,1966,470
252,Armenia,1966,28470
253,Australia,1966,7682300
254,Austria,1966,82580
255,Azerbaijan,1966,83217
256,Belgium,1966,32820
257,Bulgaria,1966,110630
258,Bosnia and Herzegovina,1966,51200
259,Belarus,1966,202840
260,Bolivia,1966,1083300
261,Switzerland,1966,39528
262,Cyprus,1966,9240
263,Czech Republic,1966,77270
264,Germany,1966,349130
265,Denmark,1966,42370
266,Spain,1966,499780
267,Estonia,1966,42390
268,France,1966,547566
269,United Kingdom,1966,241930
270,Georgia,1966,69490
271,Greece,1966,128900
272,Croatia,1966,55910
273,Hungary,1966,90010
274,Ireland,1966,68890
275,Iceland,1966,100250
276,Israel,1966,21640
277,Italy,1966,294110
278,Lithuania,1966,62680
279,Luxembourg,1966,
280,Latvia,1966,62196
281,Morocco,1966,446340
282,Monaco,1966,2.027
283,Moldova,1966,32870
284,North Macedonia,1966,25430
285,Malta,1966,320
286,Montenegro,1966,13450
287,Netherlands,1966,33760
288,Norway,1966,365244
289,Poland,1966,306290
290,Portugal,1966,91500
291,Romania,1966,230340
292,Russia,1966,16389950
293,San Marino,1966,60
294,Serbia,1966,87460
295,Slovakia,1966,48100
296,Slovenia,1966,20140
297,Sweden,1966,410340
298,Turkey,1966,769630
299,Ukraine,1966,579350
300,Albania,1967,27400
301,Andorra,1967,470
302,Armenia,1967,28470
303,Australia,1967,7682300
304,Austria,1967,82580
305,Azerbaijan,1967,83217
306,Belgium,1967,32820
307,Bulgaria,1967,110630
308,Bosnia and Herzegovina,1967,51200
309,Belarus,1967,202840
310,Bolivia,1967,1083300
