,IDConflito,LocalizacaoConflito,ParticipaEurovisao,NomeConflito,AnoInicio,AnoFim,Participante,EstadoDuranteEurovisao
0,1,Morocco,ParticipanteEurovisao,Ifni War,1957,1958,Spain,AtivoDuranteEurovisao
1,2,Morocco,ParticipanteEurovisao,Ifni War,1957,1958,France,AtivoDuranteEurovisao
2,3,East Timor,NaoParticipaNaEurovisao,Viqueque Rebellion,1959,1959,Portugal,NaoAtivoDuranteEurovisao
3,4,Yemen,NaoParticipaNaEurovisao,Upper Yafa disturbances,1959,1959,United Kingdom,NaoAtivoDuranteEurovisao
4,5,Spain,ParticipanteEurovisao,Basque conflict,1959,2011,Spain,AtivoDuranteEurovisao
5,6,Spain,ParticipanteEurovisao,Basque conflict,1959,2011,France,AtivoDuranteEurovisao
6,7,Angola,NaoParticipaNaEurovisao,Angolan War of Independence,1961,1974,Portugal,AtivoDuranteEurovisao
7,8,Algeria,NaoParticipaNaEurovisao,French military rebellion in Algeria,1961,1962,France,0
8,9,Tunisia,NaoParticipaNaEurovisao,Bizerte Crisis,1961,1961,France,NaoAtivoDuranteEurovisao
9,10,India,NaoParticipaNaEurovisao,Indian Annexation of Goa,1961,1961,Portugal,NaoAtivoDuranteEurovisao
10,11,Papua New Guinea,NaoParticipaNaEurovisao,Operation Trikora,1961,1962,Netherlands,AtivoDuranteEurovisao
11,12,Malaysia,NaoParticipaNaEurovisao,Communist insurgency in Sarawak,1962,1990,United Kingdom,AtivoDuranteEurovisao
12,13,Brunei,NaoParticipaNaEurovisao,Brunei revolt,1962,1962,United Kingdom,NaoAtivoDuranteEurovisao
13,14,Borneo,NaoParticipaNaEurovisao,Indonesia-Malaysia confrontation,1963,1966,Australia,AtivoDuranteEurovisao
14,15,Borneo,NaoParticipaNaEurovisao,Indonesia-Malaysia confrontation,1963,1966,United Kingdom,AtivoDuranteEurovisao
15,16,Guinea-Bissau,NaoParticipaNaEurovisao,Guinea-Bissau War of Independence,1963,1974,Portugal,AtivoDuranteEurovisao
16,17,Oman,NaoParticipaNaEurovisao,Dhofar Rebellion,1963,1976,United Kingdom,AtivoDuranteEurovisao
17,18,Yemen,NaoParticipaNaEurovisao,Aden Emergency,1963,1967,United Kingdom,AtivoDuranteEurovisao
18,19,Congo,NaoParticipaNaEurovisao,Simba rebellion,1963,1965,Belgium,AtivoDuranteEurovisao
