IDEurovisao,NumeroEdicao,TotalParticipantes,VerificacaoVotoJuri,VerificacaoTelevoto,TotalPontosPaisDa,MaxPontosPaisADaPaisB,DescricaoPontos,TotalPontosDisponivelConcurso,MaxPontuacaoPais,Ano,PaisAnfitriao,CidadeAnfitria,RegraLinguagem
1,1,7,Voto Juri,Sem Televoto,,,,,,1956,Switzerland,Lugano,NaoExisteRegraLinguagem
2,2,10,Voto Juri,Sem Televoto,10,10,10-Jan,100,90,1957,West Germany,Frankfurt,NaoExisteRegraLinguagem
3,3,10,Voto Juri,Sem Televoto,10,10,10-Jan,100,90,1958,Netherlands,Hilversum,NaoExisteRegraLinguagem
4,4,11,Voto Juri,Sem Televoto,10,10,10-Jan,110,100,1959,France,Cannes,NaoExisteRegraLinguagem
5,5,13,Voto Juri,Sem Televoto,10,10,10-Jan,130,120,1960,United Kingdom,London,NaoExisteRegraLinguagem
6,6,16,Voto Juri,Sem Televoto,10,10,10-Jan,160,150,1961,France,Cannes,NaoExisteRegraLinguagem
7,7,16,Voto Juri,Sem Televoto,6,3,03-Jan,96,45,1962,Luxembourg,Luxembourg City,NaoExisteRegraLinguagem
8,8,16,Voto Juri,Sem Televoto,15,5,05-Jan,240,75,1963,United Kingdom,London,NaoExisteRegraLinguagem
9,9,16,Voto Juri,Sem Televoto,9,9,"5,3,1/6,3/9",144,135,1964,Denmark,Copenhagen,NaoExisteRegraLinguagem
10,10,18,Voto Juri,Sem Televoto,9,9,"5,3,1/6,3/9",162,153,1965,Italy,Naples,NaoExisteRegraLinguagem
11,11,18,Voto Juri,Sem Televoto,9,9,"5,3,1/6,3/9",162,153,1966,Luxembourg,Luxembourg City,ApenasLinguaMaterna
12,12,17,Voto Juri,Sem Televoto,10,10,10-Jan,170,160,1967,Austria,Vienna,ApenasLinguaMaterna
13,13,17,Voto Juri,Sem Televoto,10,10,10-Jan,170,160,1968,United Kingdom,London,ApenasLinguaMaterna
14,14,16,Voto Juri,Sem Televoto,10,10,10-Jan,160,150,1969,Spain,Madrid,ApenasLinguaMaterna
15,15,12,Voto Juri,Sem Televoto,10,10,10-Jan,120,110,1970,Netherlands,Amsterdam,ApenasLinguaMaterna
16,16,18,Voto Juri,Sem Televoto,170,10,10-Feb,3060,170,1971,Ireland,Dublin,ApenasLinguaMaterna
17,17,18,Voto Juri,Sem Televoto,170,10,10-Feb,3060,170,1972,United Kingdom,Edinburgh,ApenasLinguaMaterna
18,18,17,Voto Juri,Sem Televoto,160,10,10-Feb,2720,160,1973,Luxembourg,Luxembourg City,ApenasLinguaMaterna
19,19,17,Voto Juri,Sem Televoto,10,10,10-Jan,170,160,1974,United Kingdom,Brighton,NaoExisteRegraLinguagem
20,20,19,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1102,216,1975,Sweden,Stockholm,NaoExisteRegraLinguagem
21,21,18,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1044,204,1976,Netherlands,The Hague,NaoExisteRegraLinguagem
22,22,18,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1044,204,1977,United Kingdom,London,ApenasLinguaMaterna
23,23,20,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1160,228,1978,France,Paris,ApenasLinguaMaterna
24,24,19,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1102,216,1979,Israel,Jerusalem,ApenasLinguaMaterna
25,25,19,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1102,216,1980,Netherlands,The Hague,ApenasLinguaMaterna
26,26,20,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1160,228,1981,Ireland,Dublin,ApenasLinguaMaterna
27,27,18,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1044,204,1982,United Kingdom,Harrogate,ApenasLinguaMaterna
28,28,20,Voto Juri,Sem Televoto,58,12,"12,10,8-1",1160,228,1983,West Germany,Munich,ApenasLinguaMaterna
