IDData,IDEurovisao,IDLocalizacaoDa,IDLocalizacaoRecebe,IDJunk,Pontos
60,60,44,46,6,12
59,59,44,46,6,8
56,56,44,46,6,4
48,48,44,46,6,6
47,47,44,46,6,7
44,44,44,46,6,7
42,42,44,46,6,6
41,41,44,46,6,7
40,40,44,46,6,1
38,38,44,46,6,6
64,64,44,46,5,7
63,63,44,46,5,12
60,60,44,32,6,10
59,59,44,32,6,7
60,60,44,25,3,8
56,56,44,25,3,3
42,42,44,25,3,10
64,64,44,25,1,8
64,64,44,25,2,8
63,63,44,25,1,10
60,60,44,26,6,7
52,52,44,26,6,6
50,50,44,26,6,7
47,47,44,26,6,5
60,60,44,42,6,6
56,56,44,42,6,10
52,52,44,42,6,12
64,64,44,42,4,10
63,63,44,42,4,12
60,60,44,40,6,5
52,52,44,40,6,3
48,48,44,40,6,12
42,42,44,40,6,12
60,60,44,36,6,4
59,59,44,36,6,5
50,50,44,36,6,4
48,48,44,36,6,5
43,43,44,36,6,10
41,41,44,36,6,10
40,40,44,36,6,7
38,38,44,36,6,3
64,64,44,36,4,6
63,63,44,36,4,5
60,60,44,8,6,3
48,48,44,8,6,3
43,43,44,8,6,6
60,60,44,4,6,2
64,64,44,4,4,2
60,60,44,12,6,1
49,49,44,12,6,3
47,47,44,12,6,4
42,42,44,12,6,4
40,40,44,12,6,4
63,63,44,12,4,6
63,63,44,12,5,8
59,59,44,5,3,12
56,56,44,5,3,5
48,48,44,5,3,7
44,44,44,5,3,4
41,41,44,5,3,1
63,63,44,5,1,2
63,63,44,5,2,10
59,59,44,35,6,10
49,49,44,35,6,2
46,46,44,35,6,4
44,44,44,35,6,3
41,41,44,35,6,5
38,38,44,35,6,7
64,64,44,35,4,5
64,64,44,35,5,6
63,63,44,35,5,7
59,59,44,14,6,6
56,56,44,14,6,8
46,46,44,14,6,10
44,44,44,14,6,5
40,40,44,14,6,6
64,64,44,14,4,3
64,64,44,14,5,4
63,63,44,14,4,7
59,59,44,45,6,4
56,56,44,45,6,2
48,48,44,45,6,1
46,46,44,45,6,1
42,42,44,45,6,5
38,38,44,45,6,2
59,59,44,47,6,3
50,50,44,47,6,6
47,47,44,47,6,1
41,41,44,47,6,2
38,38,44,47,6,8
64,64,44,47,4,4
64,64,44,47,5,5
59,59,44,19,6,2
56,56,44,19,6,7
44,44,44,19,6,6
43,43,44,19,6,8
63,63,44,19,4,4
59,59,44,37,6,1
46,46,44,37,6,3
42,42,44,37,6,7
56,56,44,9,6,12
52,52,44,9,6,8
50,50,44,9,6,8
49,49,44,9,6,10
47,47,44,9,6,2
46,46,44,9,6,7
44,44,44,9,6,10
56,56,44,50,6,6
52,52,44,50,6,4
49,49,44,50,6,8
56,56,44,49,6,1
47,47,44,49,6,8
44,44,44,49,6,2
43,43,44,49,6,5
42,42,44,49,6,8
38,38,44,49,6,10
52,52,44,34,6,10
50,50,44,34,6,5
49,49,44,34,6,6
43,43,44,34,6,4
64,64,44,34,4,12
64,64,44,34,5,2
52,52,44,10,6,7
52,52,44,21,3,5
63,63,44,21,1,3
52,52,44,18,6,2
52,52,44,30,6,1
50,50,44,30,6,3
63,63,44,30,5,6
50,50,44,11,3,12
49,49,44,11,3,7
48,48,44,11,3,8
47,47,44,11,3,12
46,46,44,11,3,5
44,44,44,11,3,12
43,43,44,11,3,12
41,41,44,11,3,3
40,40,44,11,3,12
50,50,44,51,6,10
49,49,44,51,6,12
50,50,44,20,6,2
49,49,44,20,6,4
46,46,44,20,6,8
40,40,44,20,6,2
50,50,44,29,6,1
49,49,44,29,6,1
47,47,44,29,6,10
43,43,44,29,6,3
41,41,44,29,6,4
64,64,44,29,5,1
49,49,44,1,6,5
63,63,44,1,4,1
63,63,44,1,5,4
48,48,44,48,6,10
40,40,44,48,6,3
48,48,44,22,6,4
41,41,44,22,6,6
38,38,44,22,6,5
64,64,44,22,4,7
48,48,44,23,6,2
43,43,44,23,6,1
42,42,44,23,6,1
41,41,44,23,6,12
40,40,44,23,6,5
38,38,44,23,6,12
47,47,44,15,6,6
46,46,44,15,6,12
44,44,44,15,6,8
43,43,44,15,6,2
42,42,44,15,6,3
41,41,44,15,6,8
64,64,44,15,4,1
63,63,44,15,5,5
47,47,44,17,6,3
46,46,44,17,6,6
42,42,44,17,6,2
40,40,44,17,6,8
38,38,44,17,6,4
64,64,44,17,5,3
63,63,44,17,5,2
46,46,44,27,6,2
44,44,44,24,6,1
43,43,44,24,6,7
40,40,44,24,6,10
63,63,44,24,5,1
38,38,44,28,6,1
64,64,44,13,5,12
63,63,44,13,4,8
63,63,44,13,5,3
64,64,44,6,5,10
60,60,17,46,6,8
59,59,17,46,6,4
57,57,17,46,6,12
56,56,17,46,6,10
54,54,17,46,6,2
51,51,17,46,6,3
49,49,17,46,6,3
48,48,17,46,6,2
46,46,17,46,6,2
45,45,17,46,6,1
44,44,17,46,6,3
41,41,17,46,6,3
16,16,17,46,6,5
40,40,17,46,6,3
17,17,17,46,6,3
37,37,17,46,6,1
26,26,17,46,6,12
34,34,17,46,6,2
32,32,17,46,6,3
31,31,17,46,6,2
30,30,17,46,6,7
29,29,17,46,6,6
28,28,17,46,6,6
23,23,17,46,6,3
20,20,17,46,6,7
18,18,17,46,6,4
6,6,17,46,6,2
5,5,17,46,6,2
61,61,17,46,4,2
61,61,17,46,5,5
66,65,17,46,4,2
66,65,17,46,5,1
64,64,17,46,5,10
63,63,17,46,5,5
62,62,17,46,5,8
60,60,17,25,3,6
3,3,17,25,3,1
59,59,17,25,3,1
58,58,17,25,3,10
57,57,17,25,3,1
56,56,17,25,3,8
16,16,17,25,3,9
17,17,17,25,3,5
38,38,17,25,3,5
25,25,17,25,3,2
37,37,17,25,3,12
36,36,17,25,3,8
35,35,17,25,3,4
33,33,17,25,3,8
30,30,17,25,3,5
28,28,17,25,3,7
23,23,17,25,3,4
22,22,17,25,3,7
21,21,17,25,3,10
20,20,17,25,3,4
18,18,17,25,3,5
10,10,17,25,3,3
6,6,17,25,3,1
4,4,17,25,3,3
61,61,17,25,2,12
66,65,17,25,1,10
64,64,17,25,1,10
64,64,17,25,2,8
63,63,17,25,1,10
62,62,17,25,1,5
62,62,17,25,2,10
60,60,17,26,6,7
47,47,17,26,6,8
45,45,17,26,6,3
57,57,17,42,6,8
55,55,17,42,6,10
53,53,17,42,6,7
52,52,17,42,6,8
66,65,17,42,4,3
63,63,17,42,4,1
60,60,17,40,6,10
58,58,17,40,6,6
57,57,17,40,6,4
53,53,17,40,6,1
52,52,17,40,6,2
51,51,17,40,6,2
48,48,17,40,6,7
45,45,17,40,6,5
39,39,17,40,6,1
61,61,17,40,4,6
61,61,17,40,5,1
66,65,17,40,5,10
64,64,17,40,4,3
59,59,17,36,6,2
54,54,17,36,6,8
48,48,17,36,6,3
41,41,17,36,6,7
16,16,17,36,6,5
40,40,17,36,6,10
17,17,17,36,6,3
25,25,17,36,6,3
34,34,17,36,6,4
32,32,17,36,6,4
31,31,17,36,6,4
30,30,17,36,6,2
18,18,17,36,6,6
7,7,17,36,6,2
5,5,17,36,6,1
64,64,17,36,4,8
62,62,17,36,5,7
60,60,17,8,6,12
58,58,17,8,6,5
55,55,17,8,6,7
48,48,17,8,6,12
47,47,17,8,6,2
44,44,17,8,6,2
43,43,17,8,6,7
16,16,17,8,6,5
17,17,17,8,6,3
