IDData,IDEurovisao,IDLocalizacao,IDMusica,IDConflito,Pontos,AreaKm2,PIBPerCapita,Populacao,DensidadePopulacional,EmissoesCO2,EmissoesPorPopulacao,EmissoesPorArea,Turismo,TurismoPorArea
1,1,35,1,1,0,,,,,,,,,
1,1,35,8,1,0,,,,,,,,,
1,1,47,2,1,0,,,,,,,,,
1,1,47,9,1,0,,,,,,,,,
1,1,8,3,1,0,,,,,,,,,
1,1,8,10,1,0,,,,,,,,,
1,1,19,4,1,0,,,,,,,,,
1,1,19,11,1,0,,,,,,,,,
1,1,17,5,1,0,,,,,,,,,
1,1,17,12,1,0,,,,,,,,,
1,1,28,6,1,0,,,,,,,,,
1,1,28,13,1,0,,,,,,,,,
1,1,25,7,1,0,,,,,,,,,
1,1,25,14,1,0,,,,,,,,,
2,2,35,20,1,31,,,,,,,,,
2,2,47,24,1,5,,,,,,,,,
2,2,8,15,1,5,,,,,,,,,
2,2,19,21,1,8,,,,,,,,,
2,2,17,22,2,17,,,,,,,,,
2,2,28,16,1,8,,,,,,,,,
2,2,25,18,1,7,,,,,,,,,
2,2,49,17,1,6,,,,,,,,,
2,2,5,19,1,3,,,,,,,,,
2,2,14,23,1,10,,,,,,,,,
3,3,35,26,1,1,,,,,,,,,
3,3,47,34,1,24,,,,,,,,,
3,3,8,31,1,8,,,,,,,,,
3,3,19,32,1,5,,,,,,,,,
3,3,17,27,2,27,,,,,,,,,
3,3,28,28,1,1,,,,,,,,,
3,3,25,25,1,13,,,,,,,,,
3,3,5,33,1,8,,,,,,,,,
3,3,14,30,1,3,,,,,,,,,
3,3,46,29,1,10,,,,,,,,,
4,4,35,39,1,21,,,,,,,,,
4,4,47,42,1,14,,,,,,,,,
4,4,8,45,1,9,,,,,,,,,
4,4,19,40,1,5,,,,,,,,,
4,4,17,35,2,15,,,,,,,,,
4,4,25,37,1,9,,,,,,,,,
4,4,49,44,5,16,,,,,,,,,
4,4,5,43,1,4,,,,,,,,,
4,4,14,36,1,12,,,,,,,,,
4,4,46,41,1,4,,,,,,,,,
4,4,31,38,1,1,,,,,,,,,
5,5,35,55,1,2,,1068.78458723735,11486631.0,,,,,,
5,5,47,54,1,5,,1787.36034770201,5327827.0,,,,,,
5,5,8,50,1,9,,1273.69165910289,9153489.0,,,,,,
5,5,19,56,1,11,,,72814900.0,,,,,,
5,5,17,58,1,32,,1334.68951190446,46621688.0,,,,,,
5,5,28,48,1,1,,2242.0158166161,313970.0,,,,,,
5,5,25,57,1,5,,804.492623346178,50199700.0,,,,,,
5,5,49,46,1,25,,1397.5948032844,52400000.0,,,,,,
5,5,5,52,1,6,,935.460426850415,7047539.0,,,,,,
5,5,14,49,1,4,,,4579603.0,,,,,,
5,5,46,47,1,4,,2114.00297269192,7484656.0,,,,,,
5,5,31,53,1,15,,,22461.0,,,,,,
5,5,36,51,1,11,,1441.75566002633,3581239.0,,,,,,
49,49,35,1065,1,11,33760.0,40362.3947822685,16281779.0,482.2801836492891,173.27,1.0641957491254488e-05,0.0051324052132701425,9647000.0,285.75236966824644
49,49,47,1488,1,0,39520.0,54878.4710009787,7389625.0,186.9844382591093,42.93,5.809496422348901e-06,0.0010862854251012146,,
49,49,8,225,1,7,30280.0,35364.3753314368,10421137.0,344.1590819022457,111.01,1.0652388506167801e-05,0.0036661162483487453,6709740.0,221.5898282694848
49,49,19,594,1,93,348770.0,34044.0536341248,82516260.0,236.59219542965278,802.5,9.725355948027698e-06,0.002300943315078705,20136979.0,57.737130487140526
49,49,17,520,1,40,547567.0,33741.2619183406,62704901.0,114.51548577616985,311.47,4.967235336198043e-06,0.0005688253674892754,40737042.0,74.39645194104101
49,49,49,1600,4,29,241930.0,40371.7108259838,59987905.0,247.95562766089364,531.36,8.85778558194356e-06,0.0021963377836564297,17578735.0,72.66041830281486
49,49,5,140,1,9,82580.0,36821.5214680093,8171966.0,98.95817389198353,69.63,8.520593453276726e-06,0.0008431823686122547,16634206.0,201.43141196415598
49,49,14,379,1,0,42430.0,46511.5983324305,5404523.0,127.37504124440254,53.87,9.967577157133016e-06,0.0012696205514965825,2020620.0,47.62243695498468
49,49,46,1431,1,170,410340.0,42821.6731423358,8993531.0,21.917266169517962,42.17,4.688925851259089e-06,0.00010276843593117903,4675923.0,11.395240532241555
49,49,31,1011,1,0,2.027,123523.493238604,33499.0,16526.393685249135,,,,,
49,49,36,1127,1,3,365244.0,57603.836021826,4591910.0,12.572170932308266,14.6,3.1795048247896845e-06,3.997327813735475e-05,,
49,49,1,59,1,106,27400.0,2373.58129170055,3026939.0,110.47222627737226,3.18,1.0505662651279065e-06,0.00011605839416058395,,
49,49,2,77,1,0,470.0,37966.1872524395,76250.0,162.2340425531915,0.56,7.344262295081968e-06,0.0011914893617021277,,
49,49,7,168,1,0,202810.0,2378.62328600741,9730146.0,47.976657955722104,30.99,3.1849470706811594e-06,0.00015280311621714904,,
49,49,9,252,1,91,51200.0,2698.46717999989,3764194.0,73.5194140625,15.92,4.229325056041214e-06,0.0003109375,,
49,49,11,287,1,50,55960.0,9747.44077059414,4304600.0,76.92280200142959,20.27,4.708916043302513e-06,0.0003622230164403145,6278991.0,112.20498570407433
49,49,12,324,1,170,9240.0,23792.6213632243,1010410.0,109.3517316017316,7.45,7.373244524499955e-06,0.0008062770562770562,1734586.0,187.72575757575757
49,49,15,406,1,0,42390.0,8914.10355674451,1362550.0,32.14319414956358,15.55,1.1412425232101576e-05,0.00036683179995281907,1374414.0,32.423071479122434
49,49,16,461,1,0,,37702.8453762641,5228172.0,,52.66,1.0072354161263248e-05,,2083487.0,
49,49,20,636,1,252,128900.0,21955.1041364941,10955141.0,84.98945694336695,98.76,9.014945585821306e-06,0.0007661753297129558,6461062.0,50.124608223429014
